"Daily Weather Observations for Canberra, Australian Capital Territory for August 2020",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Thursday 12 August 2021   IDCJDW2801.202008,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
8/1/2020,-1.6,13.2,0,,,NW,26,14:48,2.6,99,8,NW,4,1028.5,12.9,65,1,NW,17,1024.6
8/2/2020,-1,11.8,0,,,WNW,17,17:03,1.7,99,8,S,6,1027.8,11.1,63,,SSW,2,1024.4
8/3/2020,-2.7,14.1,0.4,,,NNW,31,16:52,1.3,99,8, ,Calm,1022.3,13.4,59,8,NNW,20,1017
8/4/2020,0.5,12.3,0,,,NW,61,11:31,8.5,74,,NNW,28,1011.9,9.9,40,,WNW,33,1010.4
8/5/2020,0.6,9.9,0,,,NW,54,13:53,2.8,73,4,N,31,1013.2,8.5,53,,NNW,35,1012.4
8/6/2020,-4,10.8,0,,,NW,31,3:20,2.1,79,, ,Calm,1020.1,10.1,40,,N,6,1018.8
8/7/2020,0.7,10.5,1,,,ESE,31,17:46,6,92,7,SSE,17,1023.2,7.5,90,7,SE,13,1018.5
8/8/2020,6,12.4,19.6,,,SE,37,12:04,10.2,85,8,SSE,17,1016.4,11.4,78,8,SE,17,1013.3
8/9/2020,6.8,11.3,39.6,,,S,54,8:58,7.1,93,8,S,41,1013.1,10.4,76,8,SSE,24,1012.5
8/10/2020,6.5,12.6,5.2,,,S,46,10:23,8.9,64,,S,33,1021,11.3,54,,ESE,24,1020.5
8/11/2020,-3.2,11.5,0.2,,,NNW,26,17:50,2.1,95,8,NNW,7,1023.3,10.6,62,,NNE,7,1018.8
8/12/2020,-1,12.6,0,,,NW,33,12:52,3.3,99,8, ,Calm,1017.5,11.4,78,8,NW,9,1013
8/13/2020,3.4,16.9,1.8,,,N,31,15:06,10.4,95,3,NNW,4,1015.8,15.3,64,,NNW,24,1014.3
8/14/2020,1.9,14.7,0,,,S,19,20:49,5.4,99,8,S,7,1017.9,14.5,66,7, ,Calm,1014
8/15/2020,5.3,11.1,11.2,,,SSW,30,6:29,8.9,80,8,SSW,17,1010.2,9.7,91,7,WNW,11,1008.3
8/16/2020,7.3,14.9,2.6,,,WNW,54,14:11,10.9,74,,NW,24,1008.1,12,65,8,WNW,28,1006.2
8/17/2020,6.2,13.6,0,,,NW,48,15:27,10,77,,NW,30,1010.7,12.6,58,,NW,33,1007.5
8/18/2020,5.8,14.3,0,,,NNW,46,14:32,8.9,81,8,N,19,1007.1,13.2,67,3,NW,31,1001.8
8/19/2020,4.9,11.2,5.8,,,NNW,67,10:31,8.8,78,8,NNW,26,996.6,7.6,83,7,NW,33,992.6
8/20/2020,5.1,10.7,10,,,NW,54,8:13,7.5,72,5,NW,19,1002.5,9.1,70,4,NW,26,1003.8
8/21/2020,5.1,10.5,0.4,,,WSW,65,17:36,6.7,90,8,NNW,30,1005.7,7.8,88,8,NW,35,1003
8/22/2020,2.3,7.5,6.4,,,WNW,61,12:23,4.2,74,8,WNW,31,1003.7,5.9,73,8,NW,28,1002.5
8/23/2020,1.9,10.9,1.4,,,WNW,50,12:57,6.5,61,,WNW,17,1008.7,8.4,67,5,NW,35,1008.5
8/24/2020,0.4,11,0.2,,,N,41,14:31,5.8,70,,NNW,15,1020.4,9.7,61,,N,33,1019.6
8/25/2020,-2.6,12.6,0,,,NNW,28,15:55,3.8,77,,NNE,4,1028.1,12,44,6,WNW,15,1026.4
8/26/2020,-3.3,13.9,0,,,N,31,16:18,1.5,99,8,NNE,4,1031.2,13,53,,NNW,20,1027.2
8/27/2020,-2.9,15.6,0,,,NW,50,21:00,1.5,99,8,SSW,6,1028.3,14.2,48,2,WNW,26,1023.1
8/28/2020,1,13.7,0,,,NW,59,0:15,7.6,62,,N,13,1026.1,12.2,54,,NNW,24,1026.4
8/29/2020,-2.5,18.6,0,,,N,30,14:03,5.1,83,, ,Calm,1032.6,17.9,38,,NNW,22,1027.9
8/30/2020,-1.4,18.4,0,,,NNW,56,11:59,6.3,79,, ,Calm,1026.9,17.5,44,,NW,37,1020.9
8/31/2020,6.3,15,0,,,NW,37,7:25,10.6,62,,NW,17,1019.5,13.4,56,,NNW,26,1019.5
