"Daily Weather Observations for Canberra, Australian Capital Territory for September 2020",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Sunday 12 September 2021   IDCJDW2801.202009,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
9/1/2020,4.6,14.8,0,,,N,31,13:56,8.9,71,,NNW,9,1025,14.2,49,,NNW,20,1020.7
9/2/2020,0.2,18,0,,,NW,56,12:19,7.8,88,, ,Calm,1021,17.7,49,,NNW,31,1016.5
9/3/2020,2.7,20.2,0,,,NW,57,12:57,16,59,7,NNW,11,1017.3,18.5,49,5,NNW,31,1015.3
9/4/2020,8.1,18.8,0,,,WNW,41,14:06,14.3,55,,N,17,1018.5,16.8,36,8,WNW,20,1015.4
9/5/2020,3.9,17.3,0,,,NNW,41,17:05,11.5,57,4,NNW,13,1018.3,16,49,,NNW,26,1017.6
9/6/2020,-0.9,17.6,0,,,N,33,13:22,8.8,81,,WSW,6,1028.9,17.3,45,,NW,15,1026.3
9/7/2020,0.9,20.3,0,,,NNW,41,14:58,10.8,76,, ,Calm,1031.6,19.9,57,,NW,24,1028.6
9/8/2020,2.9,22,0,,,NNW,44,11:19,14.7,72,,W,2,1029.1,20.3,59,5,NNW,30,1025.2
9/9/2020,11.7,11.8,1.4,,,E,30,7:46,11.7,87,8,ESE,13,1028.7,10.5,73,8,SE,15,1027.4
9/10/2020,5.8,14.6,0.2,,,E,35,11:07,10.6,58,7,ESE,17,1030.5,13.6,53,7,E,19,1028.5
9/11/2020,5.6,17.8,0.2,,,NNE,26,13:08,9.5,61,,WNW,7,1032.8,16.8,48,,N,11,1027.8
9/12/2020,-0.5,19.3,0,,,N,39,14:46,9.6,75,,NW,2,1029.1,18.2,44,,NNW,26,1024.8
9/13/2020,4,15.8,0,,,NW,44,11:50,14.1,63,5,NNW,20,1023.9,14.1,76,8,NW,24,1022.1
9/14/2020,2,20.1,0,,,N,33,15:29,9.7,92,7,N,9,1026.8,19.1,48,,N,22,1023.7
9/15/2020,5.3,20.5,0,,,N,28,15:45,12.8,80,,NW,4,1029.6,20.2,44,,N,17,1025.8
9/16/2020,2,21,0,,,NNW,54,11:50,11,86,, ,Calm,1025.1,20.8,42,,NW,31,1019.9
9/17/2020,5.4,23.1,0,,,ESE,50,17:49,17.3,57,1,NW,6,1024,22.5,50,,NNW,30,1021.8
9/18/2020,9.8,16.8,0.2,,,ENE,24,17:15,12.3,80,7,E,7,1032.6,16.7,64,7,ESE,9,1028.7
9/19/2020,11.3,22.1,0,,,ENE,41,18:28,16.5,74,8,SE,7,1026.9,21.3,52,5,NE,11,1021.2
9/20/2020,13.1,17.8,11,,,N,41,10:45,14.2,98,8,NNE,19,1014,16.2,79,8,NNW,28,1011
9/21/2020,7.8,23.8,1,,,N,54,16:00,14.9,98,8,NNW,9,1012.3,23.1,61,8,NNW,30,1007.5
9/22/2020,7.4,18.3,9.8,,,NNW,61,12:49,14.8,53,,NW,20,1011.7,16.4,48,4,WNW,35,1010.6
9/23/2020,6.4,14.6,0,,,WNW,56,12:52,12.7,60,7,NW,31,1013.3,12.9,55,1,WNW,31,1011.8
9/24/2020,6.2,13.1,0.4,,,WNW,48,11:03,10.5,67,7,NW,19,1013.9,12.4,53,1,WNW,28,1012
9/25/2020,4,11.3,2,,,NW,57,10:52,8.9,82,7,N,20,1004.8,5.7,92,8,N,19,1000.4
9/26/2020,2.4,10.5,14.2,,,WNW,52,5:56,6.5,63,8,WNW,28,1010.5,10.3,59,1,WNW,30,1011.7
9/27/2020,3.3,14.5,0,,,NNW,31,17:05,9.7,62,,NW,17,1021.7,13.4,54,,NW,17,1021.7
9/28/2020,-1.3,16.7,0,,,NNW,31,15:44,7.9,72,,WNW,2,1027.6,15.9,36,,N,19,1024
9/29/2020,0.8,18,0,,,N,30,13:05,10.9,70,,NNW,2,1028.2,16.5,44,2,NNE,15,1021.8
9/30/2020,5.2,17.1,0,,,NNW,56,23:45,11.8,70,8,NW,11,1019.3,12.5,91,7,NNW,17,1013.7
