"Daily Weather Observations for Canberra, Australian Capital Territory for October 2020",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Saturday 11 September 2021   IDCJDW2801.202010,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
10/1/2020,9.2,17.2,11.8,,,WNW,50,10:00,13.7,56,1,WNW,28,1015.7,16.3,47,,WNW,24,1015.7
10/2/2020,1.2,22,0,,,NNW,35,13:25,11.7,63,,WNW,7,1024.9,21.3,36,,N,28,1022.9
10/3/2020,3.2,24,0,,,NW,39,12:29,14.5,70,,N,7,1027.5,23.4,36,,NNW,24,1022.5
10/4/2020,4.3,25.3,0,,,N,39,15:16,14.4,73,5, ,Calm,1021.9,24,44,2,NNW,30,1018.2
10/5/2020,7.8,24.3,0,,,NW,54,11:17,17.7,63,,S,9,1017.3,23.7,49,8,NNW,33,1016.2
10/6/2020,11.5,16.8,20.4,,,ENE,24,23:56,12,99,8,SSE,9,1022.5,15,83,8, ,Calm,1020.7
10/7/2020,11.9,16.3,3.4,,,SE,15,9:38,14.1,98,8,SE,6,1020.8,15.7,96,8,ENE,2,1018.6
10/8/2020,12.5,18.6,12.6,,,NNW,56,15:15,15.8,98,8,N,20,1009.7,17.6,55,2,NNW,35,1009.8
10/9/2020,10.1,15.4,2,,,NNW,52,23:39,12.7,62,6,WNW,26,1013.1,13.9,67,8,NW,26,1014.4
10/10/2020,6.5,19,0,,,WNW,50,12:09,12.2,61,,NNW,19,1020,17.1,45,8,W,26,1017.9
10/11/2020,2.1,21.5,0,,,NW,41,12:14,13,65,,N,13,1021.4,20.4,36,2,WNW,28,1019.5
10/12/2020,10.5,22.5,0,,,NW,39,15:18,14.2,75,5, ,Calm,1024.7,21.8,48,4,NNW,13,1020.6
10/13/2020,4.7,25.2,0,,,E,50,16:53,13.5,70,, ,Calm,1024.2,23.5,39,2,N,20,1021.4
10/14/2020,12,21.2,0,,,ENE,33,18:12,13.7,75,8,E,20,1027.5,20.2,54,,N,7,1023.3
10/15/2020,11.7,25.3,0,,,NW,46,13:18,15.7,75,,ENE,2,1020.9,24.9,48,,NNW,30,1015.2
10/16/2020,13.5,21.2,0.2,,,ESE,54,14:22,15.8,77,8,N,15,1018.7,17.8,68,8,ENE,31,1015.8
10/17/2020,10.2,20.5,18.8,,,NW,52,11:09,12.7,88,8, ,Calm,1013.4,19.3,62,8,NNW,22,1009.5
10/18/2020,11.1,20.5,7,,,NNW,39,23:57,14.5,85,8,NW,15,1010.9,20.1,55,7,NNW,26,1010.1
10/19/2020,10,19.7,0,,,E,39,20:05,12.1,73,3,ENE,6,1016.7,18.5,47,,ENE,11,1015.5
10/20/2020,9.7,21,0,,,NNW,30,14:18,13.2,76,8,E,6,1019,20.3,40,1,N,15,1016.2
10/21/2020,9.7,23.3,0,,,NW,46,13:04,15.2,74,6,SE,6,1016.7,22.4,45,1,NNW,31,1013.2
10/22/2020,8.7,24.4,0,,,N,39,14:50,16.7,71,,ENE,6,1015.7,23.6,33,,NW,19,1012.7
10/23/2020,9.7,26.4,0,,,NW,70,19:22,17.8,76,3, ,Calm,1014.2,26,50,5,N,26,1009.3
10/24/2020,15.5,20.3,16.4,,,NNW,50,8:41,17.7,96,8,NNW,19,1005.1,19.7,73,8,NNW,19,1002.3
10/25/2020,6.4,13.5,10.6,,,SE,33,14:24,7.3,85,8,SSE,22,1014.2,12.8,70,8,SE,22,1014.7
10/26/2020,7.2,12.8,5.6,,,SSE,48,9:06,8.4,77,8,SSE,20,1021.3,11.8,74,8,SE,20,1019.3
10/27/2020,7.7,16.1,7,,,ESE,35,11:00,10.7,75,8,SSE,15,1022,15.7,61,8,ENE,15,1018.7
10/28/2020,7.2,19.5,0,,,SSE,28,11:47,12.8,72,8,S,13,1019.8,18.4,52,1,NE,6,1015.3
10/29/2020,7.6,20.4,2.4,,,WNW,31,13:25,12.6,81,7,ESE,9,1014.1,13.8,72,8,ENE,11,1010.9
10/30/2020,6.7,20.9,12,,,E,46,16:11,12.9,85,8,SE,11,1011.1,19.9,59,7,ENE,26,1008.3
10/31/2020,11.9,14.2,3.4,,,ESE,43,9:50,14.1,83,8,SSE,13,1009.1,11.3,99,8,SSW,9,1011.2
