"Daily Weather Observations for Canberra, Australian Capital Territory for November 2020",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Friday 10 September 2021   IDCJDW2801.202011,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
11/1/2020,10.7,21.3,21.4,,,SSW,46,1:45,12.9,70,7,S,30,1018.4,20.9,49,6,S,20,1018.9
11/2/2020,5.4,21.9,0,,,N,30,14:06,14.6,68,,S,7,1027.7,20.8,53,1,N,17,1024.7
11/3/2020,8.7,24.6,0,,,N,28,15:41,14.2,80,8,SSE,6,1025.9,23.8,57,,NNW,13,1021.3
11/4/2020,7.8,26.8,0,,,WNW,50,14:53,16.3,68,,NNW,6,1016.6,26,35,,WNW,33,1011.1
11/5/2020,9,11.6,17.8,,,S,48,7:46,9.1,88,8,S,22,1010.4,9.1,82,8,S,30,1012.9
11/6/2020,4,19.8,3.4,,,N,37,15:40,11.3,63,,S,4,1018.7,18.6,56,2,NNW,19,1014.7
11/7/2020,6.8,20.2,0.2,,,E,39,18:59,13.4,68,7,SSE,15,1020.2,19.5,35,,S,17,1020.3
11/8/2020,4.8,20.1,0,,,ENE,37,9:42,11.7,59,2,ESE,13,1028.5,18.4,42,,ENE,13,1025.1
11/9/2020,10.7,22,0,,,N,30,14:03,13,66,8,E,7,1027.4,20.9,45,,N,17,1022.6
11/10/2020,7.4,25.1,0,,,N,28,13:51,15.2,75,,WSW,6,1023.1,24.1,38,,NNW,13,1018.2
11/11/2020,7.8,26.9,0,,,NW,41,13:19,17.9,67,, ,Calm,1018.2,25.8,41,,NNW,28,1013.7
11/12/2020,16,22.5,0,,,NNW,56,10:52,19.8,60,4,NE,7,1009.4,19.9,74,8,WNW,20,1006.8
11/13/2020,12.8,23.9,4.2,,,W,46,13:37,17.7,94,8,WNW,9,1004.9,22.1,45,7,W,31,1002.9
11/14/2020,8.5,22.8,0,,,NNW,52,14:39,15.8,56,,W,11,1009.3,22.2,43,,NW,26,1008.3
11/15/2020,6.8,27.7,0,,,NNW,33,15:44,17,59,,WSW,2,1015.8,27,29,,NNW,17,1014.6
11/16/2020,13.8,28,0,,,WNW,72,9:22,25.7,34,,NNW,33,1009.7,23.2,55,8,NW,33,1011.2
11/17/2020,5.5,24,0,,,E,44,18:25,16.4,56,,NNW,2,1019,23.2,25,,N,24,1017.3
11/18/2020,10.8,25.8,0,,,N,24,12:14,15.7,65,4,ENE,13,1023.9,23.8,38,,NNW,11,1020.2
11/19/2020,9.2,28.6,0,,,N,31,14:43,19.6,63,,S,9,1021.9,27.9,31,8,NW,17,1017.8
11/20/2020,11.4,33.5,0,,,ESE,56,18:44,23,56,, ,Calm,1017.7,32.3,28,,NNW,30,1015.6
11/21/2020,11,29.4,0,,,ENE,35,17:59,19.6,57,,E,11,1021.8,28.1,43,,N,9,1018
11/22/2020,14.3,27.3,0,,,SW,50,22:40,19.9,74,8,N,9,1018,25,55,,N,19,1014.6
11/23/2020,15.7,20.8,30,,,SW,72,12:07,18.1,99,8,NNW,24,1008.8,16.1,98,6,N,17,1005.3
11/24/2020,10,23.8,12.6,,,E,44,17:52,16.4,66,7,SSE,13,1012.2,22.4,49,8,WNW,15,1009.4
11/25/2020,13.9,26.1,0,,,NW,39,15:25,16,76,8,NNE,11,1014.6,24.1,49,4,NNW,17,1011.2
11/26/2020,11.5,30.9,0,,,E,39,18:08,20.6,69,,WNW,6,1013.1,29.6,39,1,N,19,1011.2
11/27/2020,13.3,31.4,0,,,NW,44,14:38,18,63,,NW,4,1018.2,30,45,,NW,30,1013.1
11/28/2020,14.9,35.3,0,,,SW,76,14:29,23.8,74,,S,2,1011.3,34.2,26,2,NNW,46,1005.5
11/29/2020,16.8,27.8,3.4,,,NW,72,7:50,26.5,47,1,NW,46,1001.6,26.8,27,,WNW,37,1003.8
11/30/2020,13.6,23.2,0,,,E,41,23:25,15.3,70,7,E,22,1017.3,22.3,52,1,ENE,17,1014.3
