"Daily Weather Observations for Canberra, Australian Capital Territory for April 2021",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Sunday  5 September 2021   IDCJDW2801.202104,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
4/1/2021,5,25,0,,,N,17,12:35,9.8,99,, ,Calm,1025.6,23.4,35,,NNW,4,1023.3
4/2/2021,7.4,27.1,0,,,E,31,17:09,14.4,80,,ESE,7,1028.1,26.7,35,,E,19,1025.5
4/3/2021,5.9,28.3,0,,,W,26,12:42,13.4,75,,E,7,1026.5,27,30,,SW,11,1022.3
4/4/2021,5.8,28.1,0,,,NW,19,13:59,15.2,69,, ,Calm,1022.2,27.6,39,,NW,9,1017.6
4/5/2021,8.1,25.6,0,,,E,35,19:27,19.1,66,,ESE,11,1021.8,24.6,53,,ENE,13,1019.2
4/6/2021,10.7,25.3,0,,,E,33,19:05,19.1,78,7,SSW,7,1023.7,24.4,50,1,NNE,15,1020
4/7/2021,9.7,24.1,0,,,ENE,24,15:46,16.8,84,8,SE,2,1021.5,22.9,45,1,E,9,1016.5
4/8/2021,10.4,25,0,,,NW,28,16:47,16.7,84,2,SSE,7,1015.9,24.4,40,,NNW,9,1009.7
4/9/2021,10.5,23.6,0,,,W,56,13:33,18.2,66,5,NW,17,1006.1,22.7,43,,WNW,24,1003.9
4/10/2021,6,15.8,0,,,WNW,57,13:15,12.9,57,7,WNW,28,1006.3,14.7,51,5,WNW,30,1006.2
4/11/2021,3.6,14.6,0.2,,,SSW,50,5:16,9.2,49,,W,28,1010.1,13.1,40,8,WNW,26,1011.1
4/12/2021,-2.6,16.9,0,,,W,28,11:30,7.8,67,,WNW,9,1019.6,16.1,42,,WNW,15,1018.1
4/13/2021,-1.1,19.3,0,,,NW,33,15:00,8.4,77,,SSW,7,1022.5,18.5,39,,NNW,20,1017.5
4/14/2021,8.4,20.7,0,,,NW,54,11:03,16.5,42,7,NW,33,1014.5,18.7,34,5,NW,31,1013
4/15/2021,5.4,19.8,0,,,NNW,43,13:33,15.1,50,1,WNW,17,1016,19,39,,NNW,26,1013.3
4/16/2021,0.6,19.4,0,,,E,37,18:23,9.9,73,,SSW,4,1022,19.1,31,,NW,6,1020
4/17/2021,3.2,19.4,0,,,E,24,18:51,10.8,84,8,SE,6,1023.8,18.3,41,,NNE,9,1019.8
4/18/2021,3.6,18.3,0,,,N,28,14:17,9.8,99,8,S,4,1022.7,18.2,35,,N,15,1018.8
4/19/2021,0,19.1,0,,,N,41,14:14,9.4,70,,NNW,2,1019.1,18.1,45,,NNW,30,1014.7
4/20/2021,0.9,18.9,0,,,NW,50,13:22,13.8,59,,NW,13,1015.2,18,41,2,WNW,28,1010.5
4/21/2021,3.4,16.1,1.2,,,SSW,37,9:05,8.7,61,,SSW,17,1014.9,14.3,38,,WSW,9,1013.1
4/22/2021,-1.7,14.5,0,,,WNW,43,15:33,8.7,63,,NW,13,1012.9,13.1,49,5,WNW,30,1012
4/23/2021,0.5,18.3,0,,,WNW,37,15:37,11.3,63,,S,4,1017.5,17,39,,WNW,22,1016
4/24/2021,-2.7,18.8,0,,,NW,35,16:16,7,79,,SSW,4,1023,18.1,40,,NW,17,1019.5
4/25/2021,-0.7,18.6,0,,,WNW,26,13:08,8.3,84,,SW,9,1025.4,18.6,41,,WNW,13,1022
4/26/2021,-1,19.4,0,,,W,20,13:16,7.6,87,,N,7,1026.4,18.4,43,,NW,13,1023.3
4/27/2021,0.5,20.6,0,,,N,24,13:52,9.8,75,,ESE,9,1028.4,19.8,32,,NNW,15,1024.3
4/28/2021,5.8,20.7,0,,,WNW,24,11:48,13.2,78,2,W,7,1026.1,19.2,39,2,N,15,1022.6
4/29/2021,1.9,21.4,0,,,WNW,17,12:34,9.2,98,,SW,2,1025.4,20.8,33,,NNW,9,1022.5
4/30/2021,2.3,21.6,0,,,NNW,20,13:37,10.2,89,,SE,9,1029.5,20.7,37,1,NNE,11,1026.7
