"Daily Weather Observations for Canberra, Australian Capital Territory for August 2021",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Tuesday  7 September 2021   IDCJDW2801.202108,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
8/1/2021,2.5,13.6,0.2,,,NNW,37,12:25,8.5,100,8,SSE,9,1009.1,12.8,67,8,NW,19,1009.9
8/2/2021,-1.8,14.5,0.6,,,NE,35,20:26,0.6,99,8, ,Calm,1022,13.8,48,,NNE,17,1016.4
8/3/2021,0.6,11.3,9,,,NNW,52,9:54,8,87,8,NNW,31,1010.2,9.3,66,8,WNW,30,1009.2
8/4/2021,3.2,10.3,3.6,,,WNW,54,12:24,5.9,75,1,NW,30,1012.8,9.6,56,8,WNW,28,1014.2
8/5/2021,5.8,14.1,0,,,NW,44,0:10,10.2,66,,NW,22,1018.6,12.7,56,,WNW,31,1017.8
8/6/2021,4.7,15.8,0,,,N,39,15:43,9.6,63,,WNW,6,1023.7,14.4,55,,N,30,1021.4
8/7/2021,-3.4,14.5,0,,,NW,41,14:55,3.4,94,, ,Calm,1027,12.6,53,,NW,31,1023.7
8/8/2021,-2,11.4,0,,,ESE,26,11:48,6.3,89,8, ,Calm,1033.8,10.9,60,8,ENE,13,1031.7
8/9/2021,2.3,15.9,0,,,NNW,30,15:33,6.7,89,5, ,Calm,1031.5,14.9,50,4,NW,15,1026.5
8/10/2021,-1.2,16.3,0,,,NNW,56,14:45,6,96,, ,Calm,1028.1,15.4,42,,WNW,30,1024.5
8/11/2021,0.5,18.5,0,,,WNW,72,22:05,12.4,72,,NW,31,1024.3,18,62,8,NNW,33,1019.2
8/12/2021,4.1,14.6,4.8,,,NNW,39,13:26,8.7,61,,NNW,13,1026.3,13.4,51,,N,28,1025.2
8/13/2021,-2.9,15.7,0,,,NW,31,16:30,1.2,99,6,E,7,1029.5,15,45,,NW,15,1025.7
8/14/2021,-3.7,15.4,0.2,,,WNW,26,13:08,4.1,81,1,SW,6,1030.8,14.5,39,,NW,17,1026.5
8/15/2021,-3.4,15.8,0,,,WNW,48,14:44,1.3,99,8,SSW,2,1027.3,12.8,45,,WNW,28,1023.1
8/16/2021,1.1,12,0,,,NW,61,11:45,9.6,65,,NNW,28,1021.6,10.8,66,,NNW,41,1020.4
8/17/2021,1.9,14.2,0,,,WNW,31,3:19,7.2,76,,N,13,1023.2,13.4,47,,NW,17,1021
8/18/2021,-4.9,14.9,0,,,NW,35,13:43,4,88,,NNW,2,1027.2,14.5,51,,NNW,20,1023.2
8/19/2021,-3.3,16.3,0,,,N,37,14:44,3.1,99,, ,Calm,1025.3,14.8,52,8,NNW,28,1021.8
8/20/2021,-1.2,17.1,0,,,NNW,44,13:09,5.7,91,, ,Calm,1022.2,16.1,42,4,WNW,24,1018.9
8/21/2021,5.4,18.6,0,,,NW,48,6:15,12.7,69,,NNW,15,1019.5,17.6,47,7,NW,28,1018
8/22/2021,0.3,19.9,0,,,NW,48,15:31,8.5,87,, ,Calm,1022.1,19.8,41,,NW,30,1017
8/23/2021,3.9,20.8,0,,,NW,70,11:04,16.8,59,,NNW,37,1012.6,14.8,74,8,NNW,43,1010
8/24/2021,3.8,9.3,22.2,,,SSW,70,14:24,5.2,90,8,S,15,1012.4,8.7,69,8,SSW,39,1009.7
8/25/2021,4.9,13.2,0,,,SW,52,0:40,8,65,7,S,24,1014.9,11.7,60,8,SSE,19,1014.2
8/26/2021,-1.9,14.4,0.2,,,S,37,9:26,7.8,73,,SSW,7,1019.8,13,50,7,SSE,17,1017.4
8/27/2021,5.8,12.3,0,,,NW,26,13:21,8.8,73,8,W,7,1018.6,10.3,71,8,SSW,15,1016.1
8/28/2021,4.8,15.2,2.2,,,NW,31,14:01,7.3,92,8,N,2,1019.2,14,58,2,NW,15,1016.8
8/29/2021,0,9.6,0.8,,,NW,37,13:33,6.5,88,4,N,2,1015.6,7.4,90,8,E,11,1012.2
8/30/2021,-0.3,13.3,3.2,,,NNW,35,15:02,4,100,8,ENE,2,1020,12.7,62,6,NNW,26,1017.8
8/31/2021,-2.1,17,0.2,,,NNW,41,14:36,6.9,84,, ,Calm,1023.7,15.3,47,8,NW,26,1021.6
