"Daily Weather Observations for Canberra, Australian Capital Territory for July 2020",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Friday 13 August 2021   IDCJDW2801.202007,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
7/01/2020,0.5,15.1,0,,,NW,43,13:49,9.6,79,8,NNW,13,1022.7,15,57,8,NNW,24,1019
7/02/2020,3.4,14,1.6,,,NW,59,12:09,10.5,87,8,NNW,35,1016.2,12.3,59,,NW,35,1015.7
7/03/2020,2.9,11.6,0,,,NNW,43,11:45,7.1,77,,NNW,17,1020.4,10.6,54,,WNW,24,1019.7
7/04/2020,1.7,11.4,0.6,,,NW,41,0:03,4.3,75,,WNW,15,1022.8,10.8,47,,NW,17,1020.5
7/05/2020,-0.4,13.5,0,,,NW,31,0:08,3.7,99,,SSE,4,1024.6,12.3,60,,NNW,19,1023.2
7/06/2020,0.4,9.5,0.2,,,W,20,15:24,2.9,100,8,S,7,1030.5,8.9,76,,WNW,13,1028.4
7/07/2020,-2.5,13.9,0,,,SSW,28,12:11,2.3,99,, ,Calm,1032.2,12.9,56,7,SSE,9,1030.1
7/08/2020,-2.3,11.9,0,,,SSW,13,8:09,2.6,99,8,S,6,1033.2,10.5,68,,SW,2,1029.9
7/09/2020,-0.3,14.5,0.2,,,NNW,28,14:11,2.8,100,8, ,Calm,1032.6,13.5,49,,NNW,15,1028.9
7/10/2020,0.7,15.1,0,,,N,19,14:32,3.8,97,6, ,Calm,1029.1,14.5,49,5,NNW,15,1024.4
7/11/2020,0.5,8.5,0,,,N,13,7:16,5.5,95,1,SSW,7,1019.3,8,89,8, ,Calm,1016.4
7/12/2020,1.9,11.7,2.4,,,S,35,16:39,4.9,100,8,S,4,1018,10.1,80,8,W,7,1016.6
7/13/2020,3.9,11.7,8.6,,,S,35,5:58,6,99,8,S,13,1020.2,11.2,72,6,SSW,17,1019.7
7/14/2020,4.9,12.6,0.2,,,SSW,57,15:39,9.3,68,7,S,33,1023.5,11.7,69,8,SSW,35,1021.9
7/15/2020,6.1,12.5,0,,,S,48,6:24,8.4,66,7,S,30,1022.9,12.2,51,5,S,22,1020.2
7/16/2020,3.6,12.8,0,,,S,41,13:20,5.9,79,2,WNW,7,1021.5,12.2,55,8,S,20,1019.8
7/17/2020,-0.6,14.4,0,,,S,37,0:56,6.5,80,,SSE,9,1024.2,13.3,54,,SW,9,1022.1
7/18/2020,-0.3,12.9,0,,,NW,28,13:53,5.7,94,1, ,Calm,1024.2,12.3,64,,NNW,15,1020.1
7/19/2020,4.4,13.8,0,,,WNW,61,23:48,8.9,82,4,NW,24,1018.4,12.9,53,,NW,35,1015.1
7/20/2020,2.7,13.8,0,,,WNW,57,2:22,6.7,63,,WNW,24,1020.2,11.7,48,,NNW,24,1019.8
7/21/2020,-3.3,13.8,0,,,S,30,10:21,2.6,89,,ENE,4,1028.9,13.4,45,,WNW,13,1027.2
7/22/2020,-3.6,14.3,0,,,NNW,30,14:52,1.8,94,,N,7,1029.2,13.6,52,,NNW,24,1025.3
7/23/2020,-3.1,11.8,0,,,N,17,14:40,2.8,99,8,ESE,4,1028.2,11,57,,NNW,13,1025.4
7/24/2020,-2.1,14.7,0,,,N,24,14:04,5.1,95,8,NE,2,1028.7,14,39,,NNW,19,1025.9
7/25/2020,-3.3,15.1,0,,,E,28,20:29,2.4,92,8,WSW,7,1027.8,13.7,64,8,ENE,13,1024
7/26/2020,2.4,12,9.2,,,S,30,17:13,9.7,99,8,SSE,6,1021.3,11.9,99,8,S,11,1016.4
7/27/2020,9.4,12.2,10,,,S,76,11:53,11,86,8,SSW,41,1008,10.6,69,8,S,33,1006.9
7/28/2020,9.6,15.6,0.4,,,S,69,0:56,12.1,73,7,S,26,1013.2,14.1,62,4,S,28,1013.9
7/29/2020,1.2,15.7,0,,,N,24,15:56,7.4,86,, ,Calm,1019.6,15.1,58,1,NNW,13,1017.4
7/30/2020,1.8,14.7,0,,,SSW,22,13:28,4.9,100,8,S,7,1026.4,14.3,48,,SW,13,1024.4
7/31/2020,-2.8,13.5,0,,,N,19,13:45,3.2,85,,WSW,4,1030.6,13.2,55,,NNW,11,1027
