"Daily Weather Observations for Canberra, Australian Capital Territory for December 2020",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Thursday  9 September 2021   IDCJDW2801.202012,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
12/01/2020,11.9,33.1,0,,,NW,70,15:22,18.3,69,,SSW,6,1011.4,32.1,35,,NW,28,1005.5
12/02/2020,13.9,26.2,2.6,,,E,46,18:22,17.5,42,,NNW,11,1017.2,23.9,32,,NNW,22,1016.8
12/03/2020,12.3,25.3,0,,,NNW,35,16:35,14.7,77,8,S,6,1021.7,24.1,42,,NNW,13,1016.7
12/04/2020,6,28.8,0,,,W,54,11:49,17,61,,NNW,7,1015.3,27.9,21,,W,28,1011.7
12/05/2020,8.4,28.4,0,,,NW,72,16:44,17.3,70,3,SW,7,1010.8,26.8,38,8,NNW,44,1002.6
12/06/2020,12.8,19.5,12,,,NNW,61,0:48,14.3,50,,WNW,33,1001.2,18.4,41,1,WNW,35,1002.6
12/07/2020,10.4,21.3,0,,,WNW,59,8:27,16,46,,WNW,31,1004.2,20.4,34,4,WNW,31,1003.2
12/08/2020,3.9,20.7,0.4,,,NNW,44,16:45,13.2,57,,NW,9,1012,20.5,39,,W,24,1011.9
12/09/2020,4.9,24.6,0.2,,,NNW,39,15:56,14.1,66,,WNW,6,1018.3,23.8,34,,NNW,17,1015.4
12/10/2020,8.7,25.4,0,,,E,46,16:09,18.6,59,,SSW,4,1017.8,23.1,57,3,E,28,1017.9
12/11/2020,9,19.9,0.8,,,ESE,41,17:27,13.1,56,6,SE,20,1028.4,18.9,40,1,SE,19,1025.8
12/12/2020,7.1,19.4,0,,,ESE,37,12:39,14.9,56,4,SE,15,1030,18.7,51,8,E,24,1026.7
12/13/2020,11.2,23.8,0.8,,,E,39,14:19,14.9,88,8,E,13,1025.5,22.6,44,2,E,17,1021.6
12/14/2020,12.3,26,0,,,NE,37,14:20,17.5,74,7,E,11,1020.9,25.3,42,3,NE,15,1017.2
12/15/2020,13.8,27.7,0,,,NE,43,17:08,18.7,75,7,ESE,9,1017.1,25.8,52,8,E,11,1013.2
12/16/2020,18.7,26.6,2,,,ENE,37,18:36,21.9,85,7,ESE,9,1012.5,25.2,69,8,SE,7,1008.4
12/17/2020,17.8,30.3,3.8,,,NNW,41,11:08,20.1,99,7,NW,15,1006.8,29,47,1,NW,20,1004.5
12/18/2020,14.8,28.4,0.2,,,NW,50,10:08,25,40,,WNW,24,1006.8,26,30,8,NNW,31,1007.2
12/19/2020,13.9,22.2,0,,,ENE,41,12:38,16.9,69,7,WSW,7,1015.8,19.7,61,,ENE,28,1014
12/20/2020,10,26.9,0,,,N,35,16:06,17.1,65,3,S,4,1013.4,25,23,,NW,17,1009.8
12/21/2020,13.1,23.6,0,,,NNW,33,15:38,18.5,71,8,ESE,7,1011.5,23.1,46,8,NE,19,1007.6
12/22/2020,12.6,22.8,18.4,,,W,65,18:17,16.3,85,8,NNW,17,1001.9,21.1,43,2,WNW,35,1002.3
12/23/2020,7.4,25.1,0.2,,,NNW,30,16:53,15.6,64,8,NNW,9,1013.9,24.2,39,1,SW,11,1013.6
12/24/2020,9.3,27.2,0,,,NNW,44,12:19,17.3,73,,NW,6,1015.5,26.6,28,,WNW,28,1012.1
12/25/2020,13.6,21.2,0,,,ESE,43,18:28,15,76,8,E,17,1018.2,20.7,56,,NE,20,1017.1
12/26/2020,12.3,26,0,,,NE,35,15:47,15.7,76,8,NE,13,1018.7,25,41,1,WSW,13,1013.6
12/27/2020,10.1,31.9,0,,,NNW,44,14:56,19.2,67,,WNW,6,1013.3,30.3,25,6,WNW,26,1008
12/28/2020,15,31.9,0,,,E,57,15:24,25.1,51,,N,22,1006.2,21.9,57,5,E,28,1005.3
12/29/2020,13.1,23.7,0,,,ENE,43,17:38,15.6,70,8,E,9,1013.5,21.2,49,6,NE,20,1012.9
12/30/2020,12.5,25.8,0,,,NE,39,15:21,16.1,74,8,E,11,1018.8,24.9,48,7,NNE,17,1016.1
12/31/2020,15.1,24,0,,,E,39,16:48,15.7,88,8,NE,9,1020.1,22.6,57,1,E,24,1018.1
