"Daily Weather Observations for Canberra, Australian Capital Territory for January 2021",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Wednesday  8 September 2021   IDCJDW2801.202101,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/01/2021,14.4,19.7,0,,,ESE,35,12:39,15.9,71,8,SE,17,1021.7,18.5,59,8,ESE,17,1019.1
1/02/2021,13,22.3,0,,,E,37,16:02,16.9,59,8,E,7,1015.7,20.6,60,8,E,17,1011.7
1/03/2021,15.7,26.7,5.8,,,NNW,31,13:28,17.9,94,8, ,Calm,1008.1,24.1,60,8,NW,17,1005.8
1/04/2021,14.6,24.8,7.2,,,WNW,56,13:28,21.6,74,7,W,6,1006.3,16.3,97,8,SSW,13,1007.6
1/05/2021,14.1,28,5.4,,,NW,39,13:16,19.2,77,4,W,9,1008,26.6,41,2,NW,20,1006.2
1/06/2021,13,24.7,0.2,,,ESE,46,13:23,18.2,68,8,SE,11,1014,19.1,76,7,ESE,33,1013.4
1/07/2021,8.3,24.3,0,,,ENE,44,17:21,16.6,57,,SSE,19,1020.8,22.3,37,3,E,26,1019.2
1/08/2021,8.2,22.2,0,,,SE,39,12:22,15.5,61,8,ESE,17,1023.7,20.8,42,7,ESE,19,1022.1
1/09/2021,7.1,27.7,0,,,NE,31,18:27,17.3,61,,SSE,6,1022.6,26.1,35,1,WNW,11,1018.7
1/10/2021,10.7,31.8,0,,,ENE,37,17:57,19.9,60,,SSW,7,1020,29,32,8,NE,17,1016.1
1/11/2021,10.2,32.5,0,,,N,31,15:21,20.5,55,,NE,2,1017.6,31.5,24,,WSW,19,1013.2
1/12/2021,12,33.7,0,,,E,70,16:55,22.1,49,,SW,7,1014.9,32.8,25,,WNW,26,1011.8
1/13/2021,14.4,34.5,1.8,,,N,67,20:06,21.5,64,,E,2,1016.4,32,27,2,W,17,1011.9
1/14/2021,14.1,32.9,1,,,NW,56,16:46,25,50,,NW,24,1009.7,31.3,22,,W,30,1007.2
1/15/2021,10.9,27.9,0,,,NW,57,13:47,19.2,63,3,NNW,13,1007.2,27.2,22,,NW,39,1001.9
1/16/2021,9,23.5,0,,,NW,52,15:16,13.8,37,,WNW,11,1008.6,22.8,24,,WNW,30,1006.8
1/17/2021,4.8,27.7,0,,,NW,41,15:55,16,50,,WNW,7,1013,26.8,18,,W,20,1010.8
1/18/2021,7.6,30.8,0,,,NW,46,15:38,17.5,61,,SW,7,1013.8,29.7,18,,NNW,26,1009.1
1/19/2021,10.5,30.1,0,,,E,52,16:15,19.9,34,,SSE,15,1015.6,28.3,16,7,WNW,11,1013.7
1/20/2021,11.4,24.9,0,,,NNE,37,15:42,15,60,3,ENE,19,1022.4,22.6,35,4,N,13,1018.8
1/21/2021,8.4,30.5,0,,,NW,33,13:51,16.4,64,,S,7,1018.3,29,23,,W,20,1012.3
1/22/2021,11.2,34.1,0,,,NW,50,12:08,22.4,52,,NW,7,1010.9,31.3,20,1,W,28,1007.5
1/23/2021,11.5,35.9,0,,,NNW,52,12:14,21.1,56,, ,Calm,1012.8,34.6,12,,NW,17,1009.8
1/24/2021,13.7,37.5,0,,,ESE,48,18:34,20.8,79,,N,9,1013.6,36.1,16,,WNW,17,1009.2
1/25/2021,15.6,38,0,,,NNW,46,12:59,25.4,45,,N,2,1010.1,36.2,23,1,NW,24,1004.5
1/26/2021,18.1,32.7,0,,,NW,56,12:02,26.3,37,8,NW,35,1002.3,27.4,44,8,WNW,24,1001.7
1/27/2021,16.7,20.1,5,,,SE,39,21:51,17.2,87,8,SSE,9,1012,19,68,7,E,20,1014.2
1/28/2021,15.9,17.9,0,,,ESE,35,9:55,16.6,73,8,SE,17,1020.2,15,93,8,ESE,17,1020.3
1/29/2021,13.2,18.8,22.8,,,ENE,30,11:37,15.1,99,8,S,9,1017.2,17.8,94,8, ,Calm,1014.1
1/30/2021,15,29.3,7.8,,,NW,39,11:10,18.4,99,8,N,11,1010.8,28.1,46,,WNW,22,1008.7
1/31/2021,17.5,25.2,0.6,,,N,39,13:42,19.5,78,8,ENE,13,1015.4,24.1,57,,NE,24,1014.4
