"Daily Weather Observations for Canberra, Australian Capital Territory for February 2021",,,,,,,,,,,,,,,,,,,,
Prepared at 16:00 UTC on Tuesday  7 September 2021   IDCJDW2801.202102,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2/01/2021,16.4,28.1,0,,,WNW,72,17:22,18.8,76,8,ENE,6,1015.4,26.5,50,8,WSW,13,1009.6
2/02/2021,14.9,24.7,28.4,,,SE,37,15:44,16.9,74,8,SSE,11,1009.9,23.4,40,2,SSW,17,1008.8
2/03/2021,8.3,24.8,0.2,,,E,33,20:25,14.4,67,7,S,15,1013.5,22.8,41,1,WNW,13,1009.4
2/04/2021,13.2,29.4,0,,,NNE,43,20:06,19,68,1,ENE,4,1011.1,27.8,42,8,NW,15,1007.6
2/05/2021,17.1,28.2,2,,,NE,50,20:04,19.7,82,8, ,Calm,1010.3,26.6,55,7,NNE,20,1005.5
2/06/2021,18.8,26,30.6,,,N,54,5:07,19.2,99,7,NNW,30,1001.8,25.2,44,,NNW,35,1000.6
2/07/2021,10.1,27.5,5.4,,,E,44,18:23,18,63,,SE,2,1006.5,26.6,35,,ENE,7,1005
2/08/2021,14.8,24.9,1.4,,,E,39,17:27,15.3,89,8,SE,6,1013.6,23.1,49,1,NNW,9,1010.9
2/09/2021,15,21.9,0,,,ENE,37,14:24,16.3,70,8,ESE,11,1017,20.7,58,7,ENE,17,1014.8
2/10/2021,14.2,24.4,0,,,E,35,19:24,15.6,75,7,E,13,1016.8,22.7,51,4,NW,9,1013.1
2/11/2021,14.6,28.3,0,,,NW,35,16:49,16.9,78,8,N,4,1014.1,26.3,43,4,N,20,1009.4
2/12/2021,15.7,26,0,,,NW,43,10:02,21.7,56,8,NNW,15,1006.8,20,92,8,NNW,15,1005.9
2/13/2021,18.5,26.9,2.4,,,ENE,46,13:50,21.2,81,8,N,7,1006.6,21.5,64,6,ENE,31,1008
2/14/2021,9.8,24.4,0,,,ENE,33,18:05,16.6,65,,SE,11,1016.1,23.1,41,1,SW,9,1014.3
2/15/2021,12.6,23.6,0,,,ESE,48,12:07,17,56,7,SSE,26,1019.4,22.5,42,,E,30,1019
2/16/2021,9.9,25.1,0,,,E,44,13:33,17.8,69,8,S,19,1022.6,24,56,1,ENE,26,1020.8
2/17/2021,12.1,24.3,0,,,ESE,41,17:43,16.7,73,2,E,15,1024.3,22.7,48,7,ENE,24,1023.1
2/18/2021,11.5,24.2,0,,,NE,37,11:26,17.5,60,7,SE,15,1025.1,22.7,52,5,ENE,20,1022.6
2/19/2021,12.1,27.2,0,,,ENE,28,19:52,18.3,74,8,SSE,11,1021.5,25.1,53,5,SW,9,1017.5
2/20/2021,13.6,30.9,0,,,E,30,20:00,19.9,74,,SE,7,1016.3,29.4,33,,WNW,11,1012.1
2/21/2021,14.1,30.3,0,,,WSW,37,15:02,20.3,75,,SW,6,1011.5,26.6,48,8,W,17,1007.4
2/22/2021,13,30.1,0,,,NW,43,15:05,19.1,79,7,NW,6,1007.2,28.3,43,1,NNW,19,1004.1
2/23/2021,12.8,22.4,0.2,,,SSE,35,13:05,13.4,70,8,SSE,20,1012.2,20.1,43,7,S,19,1012.4
2/24/2021,6.6,19.7,0.2,,,ENE,33,13:25,14.2,57,5,SSE,11,1018.1,18.5,60,7,E,22,1015.2
2/25/2021,13.4,24.5,0,,,N,30,13:00,18.3,70,8,ESE,2,1010.3,21.6,70,7,NW,19,1007.8
2/26/2021,5.8,26.3,2.4,,,NW,44,12:29,16.7,53,,N,11,1009.4,25.4,35,,WNW,22,1007.9
2/27/2021,13.7,28,0,,,NW,35,15:27,15.3,84,8,ESE,11,1013.1,25,41,4,WSW,11,1010.1
2/28/2021,5.6,29.5,0,,,WNW,33,16:06,14.7,61,,SSE,6,1012.4,28.4,24,,WNW,17,1009
