"Daily Weather Observations for Canberra, Australian Capital Territory for June 2021",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Friday  3 September 2021   IDCJDW2801.202106,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
6/01/2021,-5.2,14.5,0,,,NNW,30,14:18,2,94,, ,Calm,1024.5,12.4,59,4,NNW,19,1022.7
6/02/2021,1.9,17.4,0,,,WNW,28,15:02,7.8,88,5, ,Calm,1023.3,16.8,43,,NW,15,1019.7
6/03/2021,6.1,10.5,10.4,,,SE,17,13:29,8.1,100,, ,Calm,1017.1,10.5,99,8,SSE,9,1012.1
6/04/2021,3.5,14.2,9.4,,,WNW,39,15:54,6,100,8,SSE,2,1013.8,14,55,8,WNW,20,1012.7
6/05/2021,-4.8,10.4,0.2,,,NNW,41,15:47,0.4,97,2,N,7,1024.1,10.1,66,,NNW,24,1021.1
6/06/2021,-2.5,14.5,0,,,NNW,28,16:24,3,86,,NNW,4,1026.7,13.6,61,,N,17,1023.9
6/07/2021,0.2,14.5,0,,,NNW,30,14:03,5.4,100,8,N,4,1024.9,13,64,1,NNW,22,1019.7
6/08/2021,-0.3,15,0.2,,,NW,44,12:35,8.7,76,4,WSW,4,1012.7,14.3,47,,N,30,1007.1
6/09/2021,2.4,10,4,,,NNW,28,15:10,4.6,95,3,S,4,1005.5,9.5,64,1,NW,15,1001.4
6/10/2021,1.4,9.3,10.8,,,E,37,10:59,5.4,85,,SE,17,1005,8,73,8,SE,20,1005.7
6/11/2021,4.9,13.5,8,,,NNW,43,22:28,9.1,82,8,SW,15,1012,11.9,66,8,SSE,7,1011.7
6/12/2021,5.4,9.4,0,,,NW,48,4:06,6.7,86,8,NNW,30,1016.1,8.5,83,7,NNW,24,1016.3
6/13/2021,4.3,13.8,0,,,NNW,31,1:38,8.2,83,,NNW,17,1019,12,60,3,N,17,1016.1
6/14/2021,4.2,13,0,,,NNW,13,11:49,6.6,99,8,N,7,1018.8,12.5,71,8, ,Calm,1016.6
6/15/2021,1.9,14.5,0,,,NNW,15,13:16,6.2,100,8,E,4,1020.1,13.6,51,6,NW,9,1016.9
6/16/2021,0.6,11.3,0,,,NW,30,13:59,5.6,100,8,E,7,1018.7,9,97,8,E,11,1013.2
6/17/2021,5,9.7,29.4,,,NW,44,10:28,7.3,85,,NW,30,1010.9,8,82,8,NNW,24,1008.9
6/18/2021,3.8,12.5,0,,,NW,37,0:58,5.8,100,8,S,9,1009.9,11.5,60,8,WNW,11,1008.3
6/19/2021,5.7,13,1.8,,,S,70,9:15,9.5,63,2,S,39,1017.9,11.3,56,3,S,33,1019.8
6/20/2021,2.8,12.3,0,,,S,41,0:29,8.8,63,,S,24,1026.8,10.7,57,8,SSW,28,1025.7
6/21/2021,-1.7,13.2,0,,,SE,19,14:53,4,95,,SSW,6,1030.2,12,58,7,ESE,11,1027.7
6/22/2021,-0.4,14.9,0,,,N,28,14:01,5.8,95,, ,Calm,1033.4,12.3,55,4,NNE,13,1029.7
6/23/2021,1.4,12.3,0,,,NNW,43,21:45,3.7,100,1, ,Calm,1027.6,11.7,72,8,N,17,1021.8
6/24/2021,3.7,12.4,11,,,N,69,9:04,12.3,91,7,N,43,1013.3,12,99,7,NNW,30,1010.8
6/25/2021,7.3,12.6,19.2,,,NNW,50,12:43,8.7,91,8,NNW,19,1016,9.3,91,7,NW,26,1015.1
6/26/2021,4.8,12.1,11.2,,,WNW,37,12:16,8.1,95,8,NNW,20,1019.6,11,63,5,NW,17,1019.6
6/27/2021,2.8,12.7,0,,,N,35,15:01,6.2,79,,N,13,1027.1,11.2,66,3,N,28,1027
6/28/2021,-2.2,13.6,0,,,WNW,15,13:41,1.4,99,8,S,4,1034.3,12.3,59,8,ENE,9,1032
6/29/2021,-1.7,14.2,0.2,,,NE,24,14:55,3.8,99,8,ESE,9,1036.6,13.3,61,4,NE,19,1033.2
6/30/2021,3.8,16.9,0,,,N,19,11:59,11.1,83,8,S,7,1032.6,14.6,60,8,E,9,1027.8
